,startTime,stopTime,whichEye
310,1055.869,1055.999,L
311,1059.487,1059.657,L
311,1059.487,1059.657,R
312,1063.054,1063.194,R
312,1063.054,1063.194,L
313,1070.452,1070.595,L
313,1070.452,1070.595,R
314,1072.395,1073.331,R
314,1072.395,1073.331,L
315,1074.511,1075.273,L
315,1074.511,1075.273,R
316,1078.723,1078.876,L
316,1078.723,1078.876,R
317,1087.064,1087.195,L
317,1087.064,1087.195,R
318,1097.745,1097.936,R
318,1097.745,1097.936,L
319,1102.467,1102.588,R
319,1102.467,1102.588,L
320,1106.261,1106.414,R
320,1106.261,1106.414,L
321,1109.66,1109.833,R
321,1109.66,1109.833,L
322,1120.38,1120.515,L
322,1120.38,1120.515,R
323,1128.868,1129.016,R
323,1128.868,1129.016,L
324,1129.374,1129.532,L
324,1129.374,1129.532,R
325,1132.772,1132.895,R
325,1132.772,1132.895,L
326,1133.468,1133.636,L
326,1133.468,1133.636,R
327,1135.89,1136.059,R
327,1135.89,1136.059,L
328,1139.8,1140.007,L
328,1139.8,1140.007,R
329,1143.894,1144.066,R
329,1143.894,1144.066,L
330,1148.42,1148.58,R
330,1148.42,1148.58,L
331,1151.169,1151.335,R
331,1151.169,1151.335,L
332,1154.687,1154.841,R
332,1154.687,1154.841,L
333,1158.393,1158.567,L
333,1158.393,1158.567,R
334,1161.993,1162.157,R
334,1161.993,1162.157,L
335,1166.243,1166.414,L
335,1166.243,1166.414,R
336,1170.595,1170.776,R
336,1170.595,1170.776,L
337,1175.025,1175.166,L
337,1175.025,1175.166,R
338,1182.922,1183.098,R
338,1182.922,1183.098,L
339,1186.769,1186.927,L
339,1186.769,1186.927,R
340,1190.817,1190.975,R
340,1190.817,1190.975,L
341,1193.874,1194.067,L
341,1193.874,1194.067,R
342,1198.029,1198.162,L
342,1198.029,1198.162,R
343,1200.332,1200.52,R
343,1200.332,1200.52,L
344,1205.367,1205.49,L
344,1205.367,1205.49,R
345,1207.784,1207.974,R
345,1207.784,1207.974,L
346,1214.568,1214.753,L
346,1214.568,1214.753,R
347,1218.135,1218.287,R
347,1218.135,1218.287,L
348,1221.372,1221.509,L
348,1221.372,1221.509,R
349,1224.598,1224.778,R
349,1224.598,1224.778,L
350,1229.776,1229.961,R
350,1229.776,1229.961,L
351,1230.825,1230.993,L
351,1230.825,1230.993,R
352,1233.362,1233.509,L
352,1233.362,1233.509,R
353,1236.219,1236.413,R
353,1236.219,1236.413,L
